data_path,info_path,classifier,accuracy
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,linear_svm,0.8186147186147186
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,rbf_svm,0.9441558441558442
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,decision_tree,0.8220779220779221
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,random_forest,0.8606060606060607
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,mlp,0.9116883116883118
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,ada_boost,0.474025974025974
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,naive_bayes,0.7813852813852814
data/LL0/LL0_36_segment/LL0_36_segment_dataset/tables/learningData.csv,data/LL0/LL0_36_segment/LL0_36_segment_problem/problemDoc.json,qda,0.7021645021645022
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,knn,0.5140113499581221
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,linear_svm,0.5409575642896989
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,rbf_svm,0.5500537941286009
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,gausian_process,0.5899653204724236
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,decision_tree,0.5639659980066382
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,random_forest,0.5639721361354161
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,mlp,0.5909993791669749
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,ada_boost,0.510037010576482
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,naive_bayes,0.5660459056431004
data/LL0/LL0_1028_swd/LL0_1028_swd_dataset/tables/learningData.csv,data/LL0/LL0_1028_swd/LL0_1028_swd_problem/problemDoc.json,qda,0.5259726459061111
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,knn,0.9953051643192489
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,linear_svm,1.0
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,rbf_svm,0.9685073614491481
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,decision_tree,0.8706499620955194
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,random_forest,0.8265318065142507
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,mlp,1.0
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,ada_boost,0.800900397664552
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,naive_bayes,1.0
data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_dataset/tables/learningData.csv,data/LL0/LL0_1466_cardiotocography/LL0_1466_cardiotocography_problem/problemDoc.json,qda,1.0
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,knn,0.5519924007406872
